Campaign,Keyword,Criterion Type
MY-Search-BM,job,Campaign Negative Broad
MY-Search-BM,jobs,Campaign Negative Broad
MY-Search-BM,vacancy,Campaign Negative Broad
MY-Search-BM,hiring,Campaign Negative Broad
MY-Search-BM,recruitment,Campaign Negative Broad
MY-Search-BM,salary,Campaign Negative Broad
MY-Search-BM,career,Campaign Negative Broad
MY-Search-BM,second hand,Campaign Negative Broad
MY-Search-BM,secondhand,Campaign Negative Broad
MY-Search-BM,used,Campaign Negative Broad
MY-Search-BM,preloved,Campaign Negative Broad
MY-Search-BM,recond,Campaign Negative Broad
MY-Search-BM,diy,Campaign Negative Broad
MY-Search-BM,homemade,Campaign Negative Broad
MY-Search-BM,how to make,Campaign Negative Broad
MY-Search-BM,how to build,Campaign Negative Broad
MY-Search-BM,plan,Campaign Negative Broad
MY-Search-BM,plans,Campaign Negative Broad
MY-Search-BM,blueprint,Campaign Negative Broad
MY-Search-BM,free,Campaign Negative Broad
MY-Search-BM,cheap,Campaign Negative Broad
MY-Search-BM,murah sangat,Campaign Negative Broad
MY-Search-BM,rental,Campaign Negative Broad
MY-Search-BM,rent,Campaign Negative Broad
MY-Search-BM,sewa,Campaign Negative Broad
MY-Search-BM,repair,Campaign Negative Broad
MY-Search-BM,service,Campaign Negative Broad
MY-Search-BM,spare part only,Campaign Negative Broad
MY-Search-BM,manual,Campaign Negative Broad
MY-Search-BM,pdf download,Campaign Negative Broad
MY-Search-BM,ikea,Campaign Negative Broad
MY-Search-BM,mr diy,Campaign Negative Broad
MY-Search-BM,shopee,Campaign Negative Broad
MY-Search-BM,lazada,Campaign Negative Broad
MY-Search-BM,carousell,Campaign Negative Broad
MY-Search-BM,alibaba,Campaign Negative Broad
MY-Search-BM,taobao,Campaign Negative Broad
MY-Search-BM,kitchen,Campaign Negative Broad
MY-Search-BM,office desk,Campaign Negative Broad
MY-Search-BM,study table,Campaign Negative Broad
MY-Search-BM,gaming desk,Campaign Negative Broad
MY-Search-BM,bed,Campaign Negative Broad
MY-Search-BM,wardrobe,Campaign Negative Broad
MY-Search-BM,minecraft,Campaign Negative Broad
MY-Search-BM,game,Campaign Negative Broad
MY-Search-BM,roblox,Campaign Negative Broad
MY-Search-BM,wikipedia,Campaign Negative Broad
MY-Search-BM,meaning,Campaign Negative Broad
MY-Search-BM,definition,Campaign Negative Broad
MY-Search-CNC,job,Campaign Negative Broad
MY-Search-CNC,jobs,Campaign Negative Broad
