id	title	description	link	image_link	availability	price	condition	brand	mpn	identifier_exists	google_product_category	product_type	shipping	shipping_label
EA-10031-111MN	Mobile CNC Tool Cabinet - H1300 EA-10031-111MN	Mobile CNC Tool Cabinet - H1300 EA-10031-111MN. Tool Holders: BT-30. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/ea-10031-111mn/	https://www.storagesystem.com.my/feed-img/asset3__EA-10031-111MN.jpg	in_stock	4639.25 MYR	new	Tanko	EA-10031-111MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EA-10031-222MN	Mobile CNC Tool Cabinet - H1300 EA-10031-222MN	Mobile CNC Tool Cabinet - H1300 EA-10031-222MN. Drawers: 3. Tool Holders: BT-40. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/ea-10031-222mn/	https://www.storagesystem.com.my/feed-img/asset3__EA-10031-222MN.jpg	in_stock	4723.60 MYR	new	Tanko	EA-10031-222MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EA-10032-333MN	Mobile CNC Tool Cabinet - H1300 EA-10032-333MN	Mobile CNC Tool Cabinet - H1300 EA-10032-333MN. Tool Holders: BT-50. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/ea-10032-333mn/	https://www.storagesystem.com.my/feed-img/asset3__EA-10032-333MN.jpg	in_stock	4603.10 MYR	new	Tanko	EA-10032-333MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EA-10032-666MN	Mobile CNC Tool Cabinet - H1300 EA-10032-666MN	Mobile CNC Tool Cabinet - H1300 EA-10032-666MN. Tool Holders: HSK-40. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/ea-10032-666mn/	https://www.storagesystem.com.my/feed-img/asset3__EA-10032-666MN.jpg	in_stock	4651.30 MYR	new	Tanko	EA-10032-666MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EA-10032-888MN	Mobile CNC Tool Cabinet - H1300 EA-10032-888MN	Mobile CNC Tool Cabinet - H1300 EA-10032-888MN. Tool Holders: HSK-63. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/ea-10032-888mn/	https://www.storagesystem.com.my/feed-img/asset3__EA-10032-888MN.jpg	in_stock	4603.10 MYR	new	Tanko	EA-10032-888MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EB-10031-111MN	Mobile CNC Tool Cabinet - H1300 EB-10031-111MN	Mobile CNC Tool Cabinet - H1300 EB-10031-111MN. Tool Holders: BT-30. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/eb-10031-111mn/	https://www.storagesystem.com.my/feed-img/asset3__EB-10031-111MN.jpg	in_stock	5169.45 MYR	new	Tanko	EB-10031-111MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EB-10031-222MN	Mobile CNC Tool Cabinet - H1300 EB-10031-222MN	Mobile CNC Tool Cabinet - H1300 EB-10031-222MN. Tool Holders: BT-40. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/eb-10031-222mn/	https://www.storagesystem.com.my/feed-img/asset3__EB-10031-222MN.jpg	in_stock	5241.75 MYR	new	Tanko	EB-10031-222MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EB-10032-333MN	Mobile CNC Tool Cabinet - H1300 EB-10032-333MN	Mobile CNC Tool Cabinet - H1300 EB-10032-333MN. Tool Holders: BT-50. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/eb-10032-333mn/	https://www.storagesystem.com.my/feed-img/asset3__EB-10032-333MN.jpg	in_stock	5169.45 MYR	new	Tanko	EB-10032-333MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EB-10032-666MN	Mobile CNC Tool Cabinet - H1300 EB-10032-666MN	Mobile CNC Tool Cabinet - H1300 EB-10032-666MN. Tool Holders: HSK-40. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/eb-10032-666mn/	https://www.storagesystem.com.my/feed-img/asset3__EB-10032-666MN.jpg	in_stock	5205.60 MYR	new	Tanko	EB-10032-666MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EB-10032-888MN	Mobile CNC Tool Cabinet - H1300 EB-10032-888MN	Mobile CNC Tool Cabinet - H1300 EB-10032-888MN. Tool Holders: HSK-63. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10mn/eb-10032-888mn/	https://www.storagesystem.com.my/feed-img/asset3__EB-10032-888MN.jpg	in_stock	5205.60 MYR	new	Tanko	EB-10032-888MN	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
