sku,variant_label,dimensions,load_capacity_hint,category_heading,page,source_pdf
EDAB-090505,EDAB-062505,,100kg,Professional,4,E147
RPW-09S,RPW-06S,,100kg,Professional,4,E147
RPW-12S,RPW-06S,,100kg,Professional,4,E147
RPW-09D,RPW-06D,,100kg,Professional,4,E147
RPQ-9063A,RPQ-6063A,,100kg,Professional,4,E147
RPQ-6103A,RPQ-6063A,,100kg,Professional,4,E147
RPQ-9103A,RPQ-6063A,,100kg,Professional,4,E147
RPQ-6102,RPQ-6062,,100kg,Professional,4,E147
WE-58W,WE-47W,,45kg,9,9,E147
WE-47W7,WE-47W3,,45kg,9,9,E147
WE-47W8,WE-47W4,,45kg,9,9,E147
WE-47W9,WE-47W5,,45kg,9,9,E147
WE-58W3,WE-47W3,,45kg,9,9,E147
WE-58W4,WE-47W4,,45kg,9,9,E147
WE-58W5,WE-47W5,,45kg,9,9,E147
WEW-5102W,WET-4102W,,45kg,9,9,E147
WET-4102W7,WET-4102W3,,45kg,9,9,E147
WET-4102W8,WET-4102W4,,45kg,9,9,E147
WET-4102W9,WET-4102W5,,45kg,9,9,E147
WET-5102W3,WET-4102W3,,45kg,9,9,E147
WET-5102W4,WET-4102W4,,45kg,9,9,E147
WET-5102W5,WET-4102W5,,45kg,9,9,E147
WB-57N,Rubber top N,W1500xD750xH800,600kg,Professional,10,E147
WB-57F,Laminate top F,W1500xD750xH800,600kg,Professional,10,E147
WB-57W,Wood top W,W1500xD750xH800,600kg,Professional,10,E147
WB-67N,Rubber top N,W1800xD750xH800,600kg,Professional,10,E147
WB-67F,Laminate top F,W1800xD750xH800,600kg,Professional,10,E147
WB-67W,Wood top W,W1800xD750xH800,600kg,Professional,10,E147
WBT-5203N,Rubber top N,W1500xD750xH800,600kg,Professional,10,E147
WBT-5203F,Laminate top F,W1500xD750xH800,600kg,Professional,10,E147
WBT-5203W,Wood top W,W1500xD750xH800,600kg,Professional,10,E147
WBT-6203N,Rubber top N,W1800xD750xH800,600kg,Professional,10,E147
WBT-6203F,Laminate top F,W1800xD750xH800,600kg,Professional,10,E147
WBT-6203W,Wood top W,W1800xD750xH800,600kg,Professional,10,E147
WBS-53022N,Rubber top N,W1500xD750xH800,600kg,Professional,10,E147
WBS-53022F,Laminate top F,W1500xD750xH800,600kg,Professional,10,E147
WBS-53022W,Wood top W,W1500xD750xH800,600kg,Professional,10,E147
WBS-63022N,Rubber top N,W1800xD750xH800,600kg,Professional,10,E147
WBS-63022F,Laminate top F,W1800xD750xH800,600kg,Professional,10,E147
WBS-63022W,Wood top W,W1800xD750xH800,600kg,Professional,10,E147
WB-57N6A,Rubber top N,W1500xD750xH1400,600kg,Professional,10,E147
WB-57F6A,Laminate top F,W1500xD750xH1400,600kg,Professional,10,E147
WB-57W6A,Wood top W,W1500xD750xH1400,600kg,Professional,10,E147
WB-67N6A,Rubber top N,W1800xD750xH1400,600kg,Professional,10,E147
WB-67F6A,Laminate top F,W1800xD750xH1400,600kg,Professional,10,E147
WB-67W6A,Wood top W,W1800xD750xH1400,600kg,Professional,10,E147
EGA-7041,Rubber top N,W566xD510xH700,600kg,Professional,10,E147
WA-57A,"A
Benchwork top",W1500xD750xH800,2000kg,Heavy,13,E147
WA-67A,"A
Benchwork top",W1800xD750xH800,2000kg,Heavy,13,E147
WAT-5203A,"A
Benchwork top",W1500xD750xH800,2000kg,Heavy,13,E147
WAT-6203A,"A
Benchwork top",W1800xD750xH800,2000kg,Heavy,13,E147
WAS-54031A,"A
Benchwork top",W1500xD750xH800,2000kg,Heavy,13,E147
WAS-64031A,"A
Benchwork top",W1800xD750xH800,2000kg,Heavy,13,E147
WAS-57042A,"A
Benchwork top",W1500xD750xH800,2000kg,Heavy,13,E147
WAS-67042A,"A
Benchwork top",W1800xD750xH800,2000kg,Heavy,13,E147
WD-58S,WD-48S,,600kg,Stainless,15,E147
WD-68S,WD-48S,,600kg,Stainless,15,E147
WDT-6203S,WDT-5203S,,600kg,Stainless,15,E147
