sku_id,model_no,family,slug,url,combo,dimensions,material,load_capacity,image_count,first_image,local_image
A4L-104,A4L-104,Documents cabinet (Desktop),a4l-104,https://www.tanko.com.tw/en/products-detail/a4l-104/,"{""Model No."": ""A4L-104"", ""Color"": ""White""}",,,,1,https://www.tanko.com.tw/upload/catalog_package_b/ALL_catalog_package_24C07_DV6jkWpcE5.png,C:\Users\User\OneDrive\tanko seo\assets\product\A4L-104.png
A4LM-10203,A4LM-10203,Documents cabinet (Desktop),a4l-104,https://www.tanko.com.tw/en/products-detail/a4l-104/,"{""Model No."": ""A4LM-10203"", ""Color"": ""White""}",,,,1,https://www.tanko.com.tw/upload/catalog_package_b/ALL_catalog_package_24C07_yo0BqgymVS.png,C:\Users\User\OneDrive\tanko seo\assets\product\A4LM-10203.png
A4M-106,A4M-106,Documents cabinet (Desktop),a4l-104,https://www.tanko.com.tw/en/products-detail/a4l-104/,"{""Model No."": ""A4M-106"", ""Color"": ""White""}",,,,1,https://www.tanko.com.tw/upload/catalog_package_b/ALL_catalog_package_24C07_gAVbIBeYML.png,C:\Users\User\OneDrive\tanko seo\assets\product\A4M-106.png
A4A-106,A4A-106,Documents cabinet (Desktop),a4l-104,https://www.tanko.com.tw/en/products-detail/a4l-104/,"{""Model No."": ""A4A-106"", ""Color"": ""White""}",,,,1,https://www.tanko.com.tw/upload/catalog_package_b/ALL_catalog_package_24C07_Lk39Idza6h.png,C:\Users\User\OneDrive\tanko seo\assets\product\A4A-106.png
A4L-110,A4L-110,Documents cabinet (Floor-standing),a4l-110,https://www.tanko.com.tw/en/products-detail/a4l-110/,"{""Model No."": ""A4L-110"", ""Color"": ""White""}",,,,1,https://www.tanko.com.tw/upload/catalog_package_b/ALL_catalog_package_24C07_laHLESlNTn.png,C:\Users\User\OneDrive\tanko seo\assets\product\A4L-110.png
A4M-115,A4M-115,Documents cabinet (Floor-standing),a4l-110,https://www.tanko.com.tw/en/products-detail/a4l-110/,"{""Model No."": ""A4M-115"", ""Color"": ""White""}",,,,1,https://www.tanko.com.tw/upload/catalog_package_b/ALL_catalog_package_24C07_uUSFbyzwUM.png,C:\Users\User\OneDrive\tanko seo\assets\product\A4M-115.png
A4A-115,A4A-115,Documents cabinet (Floor-standing),a4l-110,https://www.tanko.com.tw/en/products-detail/a4l-110/,"{""Model No."": ""A4A-115"", ""Color"": ""White""}",,,,1,https://www.tanko.com.tw/upload/catalog_package_b/ALL_catalog_package_24C01_FM80NVwy9C.png,C:\Users\User\OneDrive\tanko seo\assets\product\A4A-115.png
A4L-204P,A4L-204P,Documents cabinet (Desktop),a4l-204,https://www.tanko.com.tw/en/products-detail/a4l-204/,"{""Model No."": ""A4L-204P"", ""Color"": ""White""}",,,,1,https://www.tanko.com.tw/upload/catalog_package_b/ALL_catalog_package_24C07_S0C8JRyZpI.png,C:\Users\User\OneDrive\tanko seo\assets\product\A4L-204P.png
A4M-206P,A4M-206P,Documents cabinet (Desktop),a4l-204,https://www.tanko.com.tw/en/products-detail/a4l-204/,"{""Model No."": ""A4M-206P"", ""Color"": ""White""}",,,,1,https://www.tanko.com.tw/upload/catalog_package_b/ALL_catalog_package_24C07_iN0zfO2faf.png,C:\Users\User\OneDrive\tanko seo\assets\product\A4M-206P.png
A4A-206P,A4A-206P,Documents cabinet (Desktop),a4l-204,https://www.tanko.com.tw/en/products-detail/a4l-204/,"{""Model No."": ""A4A-206P"", ""Color"": ""White""}",,,,1,https://www.tanko.com.tw/upload/catalog_package_b/ALL_catalog_package_24C01_2kaHfn0wsz.png,C:\Users\User\OneDrive\tanko seo\assets\product\A4A-206P.png
